window_id,start_time,end_time,Hs,Tp,mean_direction,rms_heave
1,2026-07-12T12:35:50.871+00:00,2026-07-12T13:04:46.589+00:00,,,,
2,2026-07-12T13:04:53.823+00:00,2026-07-12T13:33:51.222+00:00,,,,
3,2026-07-12T13:33:58.418+00:00,2026-07-12T14:02:55.779+00:00,,,,
4,2026-07-12T14:03:03.018+00:00,2026-07-12T14:32:00.305+00:00,,,,
5,2026-07-12T14:32:09.634+00:00,2026-07-12T15:01:06.768+00:00,,,,
7,2026-07-12T18:29:18.402+00:00,2026-07-12T18:58:15.761+00:00,,,,
8,2026-07-12T18:58:23.033+00:00,2026-07-12T19:27:20.317+00:00,,,,
12,2026-07-13T19:52:14.456+00:00,2026-07-13T20:21:11.659+00:00,,,,
13,2026-07-13T20:21:20.345+00:00,2026-07-13T20:50:16.213+00:00,,,,
16,2026-07-15T15:08:56.082+00:00,2026-07-15T15:37:51.835+00:00,,,,
17,2026-07-15T15:37:59.074+00:00,2026-07-15T16:06:56.201+00:00,,,,
18,2026-07-15T16:07:03.436+00:00,2026-07-15T16:36:00.604+00:00,,,,
19,2026-07-15T16:36:07.840+00:00,2026-07-15T17:05:07.609+00:00,,,,
21,2026-07-15T17:34:16.641+00:00,2026-07-15T18:03:13.726+00:00,,,,
22,2026-07-15T18:03:21.041+00:00,2026-07-15T18:32:18.208+00:00,,,,
24,2026-07-16T13:17:49.423+00:00,2026-07-16T13:46:46.737+00:00,,,,
26,2026-07-16T18:31:15.101+00:00,2026-07-16T19:03:17.610+00:00,,,,
28,2026-07-16T19:21:31.756+00:00,2026-07-16T19:50:29.395+00:00,,,,
29,2026-07-16T19:50:35.265+00:00,2026-07-16T20:19:33.264+00:00,,,,
