window_id,start_time,end_time,status,innov_count,end_lat,end_lon,end_timestamp,start_itow,end_itow
1,2026-07-12T12:35:50.871+00:00,2026-07-12T13:04:46.589+00:00,COMPLETE,0,-27.605648,-48.525002,1783818240.0,,
2,2026-07-12T13:04:53.823+00:00,2026-07-12T13:33:51.222+00:00,COMPLETE,0,-27.605625,-48.524933,1783863168.0,,
3,2026-07-12T13:33:58.418+00:00,2026-07-12T14:02:55.779+00:00,COMPLETE,0,-27.605591,-48.524948,1783864960.0,,
4,2026-07-12T14:03:03.018+00:00,2026-07-12T14:32:00.305+00:00,COMPLETE,0,-27.605616,-48.524925,1783866624.0,,
5,2026-07-12T14:32:09.634+00:00,2026-07-12T15:01:06.768+00:00,COMPLETE,0,-27.605597,-48.524971,1783868416.0,,
6,2026-07-12T15:01:14.037+00:00,,COLLECTING,0,,,,,
7,2026-07-12T18:29:18.402+00:00,2026-07-12T18:58:15.761+00:00,COMPLETE,0,-27.605648,-48.525013,1783882624.0,,
8,2026-07-12T18:58:23.033+00:00,2026-07-12T19:27:20.317+00:00,COMPLETE,0,-27.605639,-48.525017,1783884416.0,,
9,2026-07-12T19:27:30.664+00:00,,COLLECTING,0,,,,,
10,2026-07-13T18:54:05.635+00:00,,COLLECTING,0,,,,,
11,2026-07-13T19:23:10.038+00:00,,COLLECTING,0,,,,,
12,2026-07-13T19:52:14.456+00:00,2026-07-13T20:21:11.659+00:00,COMPLETE,0,-27.601667,-48.517868,1783974016.0,,
13,2026-07-13T20:21:20.345+00:00,2026-07-13T20:50:16.213+00:00,COMPLETE,0,-27.601692,-48.517822,1783975808.0,,
14,2026-07-13T20:50:23.452+00:00,,COLLECTING,0,,,,,
15,2026-07-15T14:39:50.003+00:00,,COLLECTING,0,,,,,
16,2026-07-15T15:08:56.082+00:00,2026-07-15T15:37:51.835+00:00,COMPLETE,0,-27.60169,-48.517845,1784129792.0,,
17,2026-07-15T15:37:59.074+00:00,2026-07-15T16:06:56.201+00:00,COMPLETE,0,-27.601715,-48.517803,1784131584.0,,
18,2026-07-15T16:07:03.436+00:00,2026-07-15T16:36:00.604+00:00,COMPLETE,0,-27.601711,-48.517864,1784133248.0,,
19,2026-07-15T16:36:07.840+00:00,2026-07-15T17:05:07.609+00:00,COMPLETE,0,-27.601681,-48.517845,1784135040.0,,
20,2026-07-15T17:05:12.280+00:00,,COLLECTING,0,,,,,
21,2026-07-15T17:34:16.641+00:00,2026-07-15T18:03:13.726+00:00,COMPLETE,0,-27.601696,-48.517841,1784138496.0,,
22,2026-07-15T18:03:21.041+00:00,2026-07-15T18:32:18.208+00:00,COMPLETE,0,-27.601686,-48.517845,1784140288.0,,
23,2026-07-15T18:32:25.444+00:00,,COLLECTING,0,,,,,
24,2026-07-16T13:17:49.423+00:00,2026-07-16T13:46:46.737+00:00,COMPLETE,0,-27.605642,-48.524975,1784209536.0,,
25,2026-07-16T13:46:54.016+00:00,,COLLECTING,0,,,,,
